Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-07-09,TCS,EQ,1912.95,1924.0,1924.4,1876.5,1884.2,1883.0,1888.15,6151747,1161541150680000.0,193730,4089052,0.6647
2018-07-10,TCS,EQ,1883.0,1898.0,1898.9,1870.75,1876.05,1875.1,1881.79,5303302,997970460125000.0,187687,3366084,0.6347
2018-07-11,TCS,EQ,1875.1,1900.0,1998.0,1894.15,1970.0,1979.9,1951.99,22903802,4470810535140000.0,482657,9308170,0.40640000000000004
2018-07-12,TCS,EQ,1979.9,1984.0,1990.9,1960.5,1973.0,1971.35,1972.52,6921701,1365317298390000.0,204057,3235315,0.46740000000000004
2018-07-13,TCS,EQ,1971.35,1975.0,1997.9,1974.0,1977.6,1981.1,1986.23,4148185,823924006800000.0,146909,1571340,0.3788
2018-07-16,TCS,EQ,1981.1,1990.0,1996.0,1977.45,1988.85,1989.2,1988.74,2582159,513523503060000.06,112338,1428885,0.5534
2018-07-17,TCS,EQ,1989.2,1989.0,2009.0,1981.0,2000.0,2002.15,1994.6,3315492,661307231545000.0,105130,2074936,0.6258
2018-07-18,TCS,EQ,2002.15,2005.0,2011.7,1993.05,2000.0,2000.25,2000.88,2013869,402951153560000.0,93022,1182682,0.5872999999999999
2018-07-19,TCS,EQ,2000.25,2002.1,2010.45,1970.0,1986.0,1981.4,1984.27,1746318,346517273600000.0,81270,806524,0.4618
2018-07-20,TCS,EQ,1981.4,1984.9,2000.0,1984.0,1998.1,1996.6,1993.61,1934995,385763121600000.0,97910,1145691,0.5921000000000001
2018-07-23,TCS,EQ,1996.6,2001.0,2009.95,1986.0,2001.1,2005.65,2005.83,2086201,418457227710000.0,88812,1490091,0.7143
2018-07-24,TCS,EQ,2005.65,2015.0,2015.0,1984.15,1996.45,1999.0,1998.52,2038423,407382095805000.0,96571,1388444,0.6811
2018-07-25,TCS,EQ,1999.0,2001.9,2002.0,1968.4,1977.5,1981.5,1979.25,1535492,303912715340000.0,92993,878512,0.5721
2018-07-26,TCS,EQ,1981.5,1974.95,1985.0,1955.1,1956.0,1964.7,1968.67,3503036,689632686290000.0,110618,2533158,0.7231000000000001
2018-07-27,TCS,EQ,1964.7,1960.85,1964.65,1940.3,1943.75,1943.75,1948.53,2033977,396327194650000.0,103516,1389322,0.6831
2018-07-30,TCS,EQ,1943.75,1943.0,1954.7,1931.55,1944.3,1944.6,1942.3,1579251,306738601445000.0,74802,862487,0.5461
2018-07-31,TCS,EQ,1944.6,1942.0,1947.0,1928.0,1947.0,1940.2,1934.85,2204803,426597011115000.0,125163,1494920,0.6779999999999999
2018-08-01,TCS,EQ,1940.2,1949.95,1981.55,1949.8,1973.0,1976.5,1972.85,2425180,478450753870000.0,94019,1409120,0.5810000000000001
2018-08-02,TCS,EQ,1976.5,1980.0,1985.0,1945.0,1947.5,1948.4,1960.41,1509287,295881520940000.0,85680,842778,0.5584
2018-08-03,TCS,EQ,1948.4,1956.5,1982.05,1956.5,1978.0,1979.45,1973.58,1505131,297049899540000.0,91920,938806,0.6237
2018-08-06,TCS,EQ,1979.45,1997.0,1998.95,1972.25,1975.05,1975.55,1981.25,1532249,303576901475000.0,62917,920478,0.6007
2018-08-07,TCS,EQ,1975.55,1978.2,1979.15,1960.5,1969.0,1967.35,1967.34,1353560,266290826165000.0,95485,914572,0.6757
2018-08-08,TCS,EQ,1967.35,1972.0,1978.3,1962.0,1975.0,1974.0,1969.57,1315062,259010026835000.0,78555,902368,0.6862
2018-08-09,TCS,EQ,1974.0,1980.0,1980.8,1966.0,1978.0,1974.35,1974.51,2060297,406807302660000.0,88956,1627842,0.7901
2018-08-10,TCS,EQ,1974.35,1980.95,1996.5,1972.05,1992.0,1993.1,1985.67,2784105,552831708835000.06,105306,2064227,0.7414000000000001
2018-08-13,TCS,EQ,1993.1,1997.8,2004.25,1990.0,1999.5,2000.15,1998.04,3559575,711218442450000.0,176860,2630963,0.7391
2018-08-14,TCS,EQ,2000.15,1992.0,2024.6,1982.4,2000.0,2003.55,2010.34,3311765,665777058530000.0,120349,1934826,0.5842
2018-08-16,TCS,EQ,2003.55,2000.3,2020.05,1995.0,2009.1,2008.5,2008.49,2152065,432240789155000.0,153660,1390016,0.6459
2018-08-17,TCS,EQ,2008.5,2013.85,2021.9,2004.0,2010.0,2012.75,2012.85,1213731,244305858535000.0,114738,719022,0.5924
2018-08-20,TCS,EQ,2012.75,2024.0,2024.0,2003.7,2014.15,2009.95,2011.43,1587032,319219714660000.0,125610,1020783,0.6432
2018-08-21,TCS,EQ,2009.95,2010.15,2024.0,2004.0,2014.0,2017.65,2015.38,1376866,277490372794999.97,67624,826204,0.6001
2018-08-23,TCS,EQ,2017.65,2022.8,2038.0,2020.3,2033.9,2035.1,2030.81,3046791,618746052070000.0,147069,2229341,0.7317
2018-08-24,TCS,EQ,2035.1,2035.1,2046.0,2031.0,2041.6,2043.0,2041.86,1570533,320680158760000.0,89779,1071112,0.682
2018-08-27,TCS,EQ,2043.0,2043.0,2059.0,2035.0,2050.05,2050.9,2051.79,1532702,314478853870000.0,95164,1066284,0.6957
2018-08-28,TCS,EQ,2050.9,2055.0,2072.0,2052.0,2069.95,2069.2,2065.5,1987983,410617514360000.0,108533,1297603,0.6527
2018-08-29,TCS,EQ,2069.2,2072.5,2076.6,2045.6,2073.25,2072.0,2065.1,1525867,315106699115000.0,88327,896703,0.5877
2018-08-30,TCS,EQ,2072.0,2068.0,2085.0,2065.5,2081.25,2082.4,2078.06,2408020,500399913114999.94,125517,1793156,0.7447
2018-08-31,TCS,EQ,2082.4,2082.3,2092.0,2074.0,2078.0,2078.4,2082.1,2504554,521472272085000.06,137612,1422197,0.5678
2018-09-03,TCS,EQ,2078.4,2084.8,2090.0,2048.4,2050.3,2052.9,2072.5,1439711,298380330890000.0,66713,816070,0.5668
2018-09-04,TCS,EQ,2052.9,2059.8,2104.75,2056.95,2100.0,2098.9,2093.77,4420803,925615289854999.9,272369,2931637,0.6631
2018-09-05,TCS,EQ,2098.9,2100.0,2107.25,2075.05,2077.0,2079.25,2086.52,1681106,350765910370000.0,125377,1034014,0.6151
2018-09-06,TCS,EQ,2079.25,2075.0,2081.5,2060.3,2074.5,2075.3,2070.41,2238097,463376781150000.0,123504,1585975,0.7086
2018-09-07,TCS,EQ,2075.3,2079.3,2084.0,2065.4,2078.75,2079.85,2076.27,1312182,272444661215000.0,91094,898428,0.6847
2018-09-10,TCS,EQ,2079.85,2084.4,2093.4,2074.25,2084.0,2080.75,2083.98,1530539,318962019490000.0,96119,1177046,0.7690000000000001
2018-09-11,TCS,EQ,2080.75,2089.0,2089.0,2042.2,2045.15,2046.25,2055.93,3679745,756531486750000.0,153230,2033267,0.5526
2018-09-12,TCS,EQ,2046.25,2052.35,2068.9,2040.0,2045.0,2043.95,2048.93,2307661,472822878020000.0,135528,1632725,0.7075
2018-09-14,TCS,EQ,2043.95,2044.0,2071.55,2018.15,2066.95,2065.4,2042.02,3642038,743712977635000.0,160266,2334308,0.6409
2018-09-17,TCS,EQ,2065.4,2070.0,2077.8,2054.55,2072.0,2074.15,2067.17,1033857,213715757110000.0,66371,547913,0.53
2018-09-18,TCS,EQ,2074.15,2073.0,2078.8,2057.6,2074.0,2070.75,2069.75,1456507,301460944825000.0,77936,978158,0.6716
2018-09-19,TCS,EQ,2070.75,2071.9,2089.0,2066.85,2076.0,2077.9,2081.53,1301268,270862253550000.0,122321,893572,0.6867
2018-09-21,TCS,EQ,2077.9,2077.0,2121.0,2050.15,2111.9,2103.15,2083.75,4508530,939463296815000.0,163985,3097568,0.687
2018-09-24,TCS,EQ,2103.15,2115.0,2210.5,2098.15,2208.0,2198.45,2168.27,3032226,657466991290000.0,134605,1315871,0.434
2018-09-25,TCS,EQ,2198.45,2204.9,2211.9,2153.8,2183.1,2183.2,2186.15,2868778,627156516110000.0,141519,1361286,0.47450000000000003
2018-09-26,TCS,EQ,2183.2,2187.0,2199.0,2135.1,2147.15,2142.15,2161.8,1970951,426080809945000.0,95921,1029552,0.5224
